url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry,theme_id,theme_description,target_language
https://www.thegazette.com/track-field/drake-relays-2025-form-chart-current-cutoffs-state-leaders-and-more-april-16/,,"Drake Relays 2025 form chart : Current cutoffs , state leaders and more ( April 16 ) ",20250416T141500Z,https://imengine.public.prod.cdr.navigacloud.com/?uuid=b29e837f-2804-5eda-89c8-0b40eb606c2e&type=preview&q=75,thegazette.com,English,United States,LEADER,References to leadership figures,English
https://www.winnipegfreepress.com/canada/2025/04/17/the-latest-four-federal-leaders-face-off-in-english-language-leaders-debate,,The Latest : Four federal leaders face off in English language leader debate – Winnipeg Free Press,20250417T221500Z,,winnipegfreepress.com,English,Canada,LEADER,References to leadership figures,English
https://www.winnipegfreepress.com/canada/2025/04/18/advance-polls-open-as-federal-leaders-hit-campaign-trail-after-debates,,Advance polls open as federal leaders hit campaign trail after debates – Winnipeg Free Press,20250418T110000Z,,winnipegfreepress.com,English,Canada,LEADER,References to leadership figures,English
https://www.cbc.ca/news/politics/key-moments-english-leadership-debate-1.7513787,https://www.cbc.ca/amp/1.7513787,6 big moments and takeaways from the final leader debate,20250418T050000Z,https://i.cbc.ca/1.7513890.1744938419!/cpImage/httpImage/image.jpg_gen/derivatives/16x9_1180/fedelxn-debates-20250417.jpg?im=Resize%3D620,cbc.ca,English,Canada,LEADER,References to leadership figures,English
https://lfpress.com/news/politics/federal_election/carney-poilievre-english-debate-montreal-2025,,Live video : Federal leaders face off in 2025 Canada election debate,20250418T013000Z,,lfpress.com,English,Canada,LEADER,References to leadership figures,English
https://www.edp24.co.uk/news/national/25096545.canadian-leader-mark-carney-says-trump-key-issue-national-election/,,Canadian leader Mark Carney says Trump key issue in national election,20250417T064500Z,https://www.edp24.co.uk/resources/images/19343424.jpg?type=og-image,edp24.co.uk,English,United Kingdom,LEADER,References to leadership figures,English
https://www.cbc.ca/news/politics/livestory/canada-election-leaders-to-face-off-in-first-debate-of-campaign-9.6726360,,Canada election : Leaders to face off in first debate of campaign,20250416T210000Z,https://i.cbc.ca/1.7510717.1744830790!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_1180/federal-leaders-composite.jpg?im=Resize%3D620,cbc.ca,English,Canada,LEADER,References to leadership figures,English
https://www.bnnbloomberg.ca/federal-election-2025/2025/04/18/advance-polls-open-as-federal-leaders-hit-campaign-trail-after-debates/,,Canada election : Advance polls open after debates,20250418T114500Z,https://www.bnnbloomberg.ca/resizer/v2/2WGBKMLPVBEII7A6SOWKEXNE2Y.jpg?smart=true&auth=3778d2aff930f1a755b46159b0ca049f01511addaba02e38e27378b810e73d3a,bnnbloomberg.ca,English,Canada,LEADER,References to leadership figures,English
https://www.winnipegfreepress.com/canada/2025/04/19/liberals-ndp-set-to-launch-platforms-today-main-leaders-near-toronto-vancouver,,"Liberals , NDP set to launch platforms today ; main leaders near Toronto , Vancouver – Winnipeg Free Press",20250419T141500Z,,winnipegfreepress.com,English,Canada,LEADER,References to leadership figures,English
https://nationalpost.com/news/party-leaders-reporters-questions-english-debate,,Why party leaders didnt take media questions after the English debate,20250418T050000Z,,nationalpost.com,English,Canada,LEADER,References to leadership figures,English
https://www.washingtonexaminer.com/news/world/3384837/canada-election-question-who-can-stand-up-to-trump/,,Canada preelection question : Who can stand up to Donald Trump ? ,20250419T114500Z,https://www.washingtonexaminer.com/wp-content/uploads/2025/04/AP25107835935846.webp,washingtonexaminer.com,English,United States,LEADER,References to leadership figures,English
https://www.winnipegfreepress.com/canada/2025/04/13/conservative-liberal-leaders-to-appear-on-tout-le-monde-en-parle-sunday-evening,,"Conservative , Liberal leaders to appear on  Tout le monde en parle  Sunday evening – Winnipeg Free Press",20250413T113000Z,,winnipegfreepress.com,English,Canada,LEADER,References to leadership figures,English
https://www.winnipegfreepress.com/canada/2025/04/16/the-latest-four-federal-leaders-face-off-in-french-language-leaders-debate,,The Latest : Four federal leaders face off in French language leader debate – Winnipeg Free Press,20250416T151500Z,,winnipegfreepress.com,English,Canada,LEADER,References to leadership figures,English
https://www.geo.tv/latest/600749-pti-deplores-non-implementation-of-court-orders,https://www.geo.tv/amp/600749-pti-deplores-non-implementation-of-court-orders,"Bureaucracy will have to apologise to Imran , says Omar Ayub",20250419T091500Z,https://www.geo.tv/assets/uploads/updates/2025-04-19/l_600749_114448_updates.jpg,geo.tv,English,Pakistan,LEADER,References to leadership figures,English
https://www.bournemouthecho.co.uk/news/national/25096545.canadian-leader-mark-carney-says-trump-key-issue-national-election/,,Canadian leader Mark Carney says Trump key issue in national election,20250417T081500Z,https://www.bournemouthecho.co.uk/resources/images/19343424.jpg?type=og-image,bournemouthecho.co.uk,English,United Kingdom,LEADER,References to leadership figures,English
https://torontosun.com/news/national/federal_elections/the-latest-canada-votes-april-17,,THE LATEST : Federal leaders to face off in second debate,20250417T161500Z,,torontosun.com,English,Canada,LEADER,References to leadership figures,English
https://www.durangoherald.com/articles/carney-says-trump-key-issue-in-canadas-election-while-conservative-rival-says-country-needs-change/,,"Carney says Trump key issue in Canada election , while Conservative rival says country needs change",20250417T043000Z,https://imengine.public.prod.dur.navigacloud.com/?uuid=3130a8ac-5fbb-5aaa-92a8-50e43ef0390a&function=fit&type=preview,durangoherald.com,English,United States,LEADER,References to leadership figures,English
https://www.theargus.co.uk/news/national/25096545.canadian-leader-mark-carney-says-trump-key-issue-national-election/,,Canadian leader Mark Carney says Trump key issue in national election,20250417T063000Z,https://www.theargus.co.uk/resources/images/19343424.jpg?type=og-image,theargus.co.uk,English,United Kingdom,LEADER,References to leadership figures,English
https://www.birminghammail.co.uk/black-country/new-leader-appointed-dudley-labour-31401873,https://www.birminghammail.co.uk/black-country/new-leader-appointed-dudley-labour-31401873.amp,New leader appointed for Dudley Labour group,20250411T111500Z,https://i2-prod.birminghammail.co.uk/article31401871.ece/ALTERNATES/s1200/0_Aston-Leadership.jpg,birminghammail.co.uk,English,United Kingdom,LEADER,References to leadership figures,English
https://www.echo-news.co.uk/news/national/25096545.canadian-leader-mark-carney-says-trump-key-issue-national-election/,,Canadian leader Mark Carney says Trump key issue in national election,20250417T060000Z,https://www.echo-news.co.uk/resources/images/19343424.jpg?type=og-image,echo-news.co.uk,English,United Kingdom,LEADER,References to leadership figures,English
https://www.echo-news.co.uk/news/national/25100050.canadian-leader-tells-nation-trump-tariff-war-can-help-domestic-trade/,,Canadian leader tells nation Trump tariff war can help domestic trade,20250418T021500Z,https://www.echo-news.co.uk/resources/images/19348868.jpg?type=og-image,echo-news.co.uk,English,United Kingdom,LEADER,References to leadership figures,English
https://www.bournemouthecho.co.uk/news/national/25100050.canadian-leader-tells-nation-trump-tariff-war-can-help-domestic-trade/,,Canadian leader tells nation Trump tariff war can help domestic trade,20250418T044500Z,https://www.bournemouthecho.co.uk/resources/images/19348868.jpg?type=og-image,bournemouthecho.co.uk,English,United Kingdom,LEADER,References to leadership figures,English
https://www.therecord.com/politics/federal-elections/advance-polls-open-as-federal-leaders-hit-campaign-trail-after-debates/article_9895e24f-b2a3-5710-a105-badc1b899373.html,,Advance polls open as federal leaders hit campaign trail after debates,20250418T113000Z,https://bloximages.chicago2.vip.townnews.com/therecord.com/content/tncms/custom/image/23af3362-fbf7-11ed-9682-4fc0f10dbc1a.png,therecord.com,English,Canada,LEADER,References to leadership figures,English
https://www.salisburyjournal.co.uk/news/national/25100050.canadian-leader-tells-nation-trump-tariff-war-can-help-domestic-trade/,,Canadian leader tells nation Trump tariff war can help domestic trade,20250418T040000Z,https://www.salisburyjournal.co.uk/resources/images/19348868.jpg?type=og-image,salisburyjournal.co.uk,English,United Kingdom,LEADER,References to leadership figures,English
https://www.winnipegfreepress.com/canada/2025/04/18/canada-federal-election-2025-where-the-leaders-are-on-friday-april-18,,"Canada federal election 2025 : Where the leaders are on Friday , April 18 – Winnipeg Free Press",20250418T110000Z,,winnipegfreepress.com,English,Canada,LEADER,References to leadership figures,English
https://www.winnipegfreepress.com/canada/2025/04/19/canada-federal-election-2025-where-the-leaders-are-on-saturday-april-19,,"Canada federal election 2025 : Where the leaders are on Saturday , April 19 – Winnipeg Free Press",20250419T103000Z,,winnipegfreepress.com,English,Canada,LEADER,References to leadership figures,English
https://dailypost.ng/2025/04/08/edo-assembly-pdp-nominates-minority-leader-minority-whip/,,"Edo Assembly : PDP nominates Minority Leader , Minority Whip",20250408T140000Z,https://dailypost.ng/wp-content/uploads/2022/05/PDP.jpeg,dailypost.ng,English,Nigeria,LEADER,References to leadership figures,English
https://www.theglobeandmail.com/politics/federal-election/article-green-party-removed-from-both-election-debates/,,Green Party removed from both election debates,20250416T134500Z,https://www.theglobeandmail.com/resizer/v2/CMXE655BVFFSJFGRIPDFKOAMEE.JPG?auth=bf3412ea2244871e50a7beef41c39a1129a66e4911ae31a8eb8cd673f0f9e35c&quality=80&smart=true,theglobeandmail.com,English,Canada,LEADER,References to leadership figures,English
https://www.lancashiretelegraph.co.uk/news/national/25096545.canadian-leader-mark-carney-says-trump-key-issue-national-election/,,Canadian leader Mark Carney says Trump key issue in national election,20250417T060000Z,https://www.lancashiretelegraph.co.uk/resources/images/19343424.jpg?type=og-image,lancashiretelegraph.co.uk,English,United Kingdom,LEADER,References to leadership figures,English
https://www.lancashiretelegraph.co.uk/news/national/25100050.canadian-leader-tells-nation-trump-tariff-war-can-help-domestic-trade/,,Canadian leader tells nation Trump tariff war can help domestic trade,20250418T021500Z,https://www.lancashiretelegraph.co.uk/resources/images/19348868.jpg?type=og-image,lancashiretelegraph.co.uk,English,United Kingdom,LEADER,References to leadership figures,English
https://windsorstar.com:443/news/politics/federal_election/carney-poilievre-english-debate-montreal-2025,,Party leaders square off tonight for round 2 of debate battle with all sights on Carney,20250417T224500Z,,windsorstar.com,English,Canada,LEADER,References to leadership figures,English
