text,type,start,end,method,article_id,article_url,article_domain,article_theme
Drake,PERSON,0,5,nltk,0,https://www.thegazette.com/track-field/drake-relays-2025-form-chart-current-cutoffs-state-leaders-and-more-april-16/,thegazette.com,LEADER
Latest,GPE,4,10,nltk,1,https://www.winnipegfreepress.com/canada/2025/04/17/the-latest-four-federal-leaders-face-off-in-english-language-leaders-debate,winnipegfreepress.com,LEADER
English,GPE,46,53,nltk,1,https://www.winnipegfreepress.com/canada/2025/04/17/the-latest-four-federal-leaders-face-off-in-english-language-leaders-debate,winnipegfreepress.com,LEADER
Advance,GPE,0,7,nltk,2,https://www.winnipegfreepress.com/canada/2025/04/18/advance-polls-open-as-federal-leaders-hit-campaign-trail-after-debates,winnipegfreepress.com,LEADER
Winnipeg Free,PERSON,73,86,nltk,2,https://www.winnipegfreepress.com/canada/2025/04/18/advance-polls-open-as-federal-leaders-hit-campaign-trail-after-debates,winnipegfreepress.com,LEADER
Live,GPE,0,4,nltk,4,https://lfpress.com/news/politics/federal_election/carney-poilievre-english-debate-montreal-2025,lfpress.com,LEADER
Canada,GPE,46,52,nltk,4,https://lfpress.com/news/politics/federal_election/carney-poilievre-english-debate-montreal-2025,lfpress.com,LEADER
Canadian,GPE,0,8,nltk,5,https://www.edp24.co.uk/news/national/25096545.canadian-leader-mark-carney-says-trump-key-issue-national-election/,edp24.co.uk,LEADER
Mark Carney,PERSON,16,27,nltk,5,https://www.edp24.co.uk/news/national/25096545.canadian-leader-mark-carney-says-trump-key-issue-national-election/,edp24.co.uk,LEADER
Trump,PERSON,33,38,nltk,5,https://www.edp24.co.uk/news/national/25096545.canadian-leader-mark-carney-says-trump-key-issue-national-election/,edp24.co.uk,LEADER
Canada,GPE,0,6,nltk,6,https://www.cbc.ca/news/politics/livestory/canada-election-leaders-to-face-off-in-first-debate-of-campaign-9.6726360,cbc.ca,LEADER
Canada,GPE,0,6,nltk,7,https://www.bnnbloomberg.ca/federal-election-2025/2025/04/18/advance-polls-open-as-federal-leaders-hit-campaign-trail-after-debates/,bnnbloomberg.ca,LEADER
Liberals,GPE,0,8,nltk,8,https://www.winnipegfreepress.com/canada/2025/04/19/liberals-ndp-set-to-launch-platforms-today-main-leaders-near-toronto-vancouver,winnipegfreepress.com,LEADER
NDP,ORGANIZATION,11,14,nltk,8,https://www.winnipegfreepress.com/canada/2025/04/19/liberals-ndp-set-to-launch-platforms-today-main-leaders-near-toronto-vancouver,winnipegfreepress.com,LEADER
Toronto,GPE,65,72,nltk,8,https://www.winnipegfreepress.com/canada/2025/04/19/liberals-ndp-set-to-launch-platforms-today-main-leaders-near-toronto-vancouver,winnipegfreepress.com,LEADER
